d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,Vinho
276,128,610,613,152,545,411,566,199,138,366,703,76,2
0,152,449,562,163,510,386,736,505,53,1000,586,92,2
208,144,337,526,174,345,266,321,353,57,382,755,155,2
366,172,444,613,413,352,369,396,379,67,472,619,48,2
458,532,332,278,109,224,192,566,132,181,179,311,67,2
255,532,342,433,185,352,274,453,461,0,366,652,204,2
111,328,567,485,283,662,517,358,448,168,260,777,248,2
139,259,1000,923,533,759,1000,642,461,403,366,886,133,2
366,729,733,820,348,421,378,566,410,68,358,678,62,2
532,1000,412,562,174,566,487,321,505,113,203,670,73,2
221,706,551,536,130,648,568,151,789,130,220,868,73,2
274,281,433,536,163,559,487,453,297,126,309,736,71,2
368,156,497,562,174,607,593,491,429,227,171,575,53,2
200,275,759,923,239,397,401,849,426,147,398,429,134,2
353,176,503,716,196,428,445,509,470,72,333,553,46,2
266,704,545,588,109,386,297,547,297,113,252,476,215,2
482,121,513,381,565,183,192,151,167,241,228,7,251,3
487,445,556,485,370,110,186,208,132,352,211,55,180,3
468,310,556,691,304,59,158,264,132,377,146,33,201,3
439,555,535,562,391,248,181,75,136,317,244,7,230,3
389,99,476,356,163,352,51,887,265,356,220,88,265,3
413,340,449,407,261,221,68,943,167,497,203,114,297,3
321,787,631,536,207,138,27,755,123,219,220,0,315,3
395,943,684,742,283,279,55,943,218,317,276,154,169,3
647,563,444,459,196,221,30,849,148,377,268,201,215,3
476,439,668,691,337,462,55,755,126,311,333,322,223,3
500,409,717,536,283,193,34,755,107,283,236,381,230,3
613,360,529,485,207,145,34,453,73,369,179,440,358,3
655,480,727,665,293,197,38,698,44,262,333,289,173,3
682,832,529,485,239,352,97,642,192,266,350,286,194,3
321,621,449,407,457,138,93,302,230,591,138,267,412,3
561,559,422,536,348,179,44,566,281,232,98,150,394,3
750,850,465,485,109,0,0,509,85,309,81,22,98,3
484,765,599,562,174,248,65,642,142,544,49,216,248,3
603,494,545,562,239,328,89,604,265,609,57,128,265,3
539,625,535,562,467,148,222,396,230,693,73,22,194,3
650,470,674,691,576,145,259,170,265,625,89,11,158,3
463,381,599,588,457,172,215,208,268,812,0,73,144,3
547,229,743,768,500,421,198,245,363,497,106,22,105,3
579,506,492,407,304,283,103,906,461,788,65,88,283,3
408,109,396,485,359,172,51,755,312,539,81,103,258,3
563,879,513,588,250,262,61,906,360,565,98,77,319,3
739,668,545,459,207,283,103,660,363,660,73,136,144,3
374,453,684,845,293,317,51,943,230,531,154,168,429,3
871,186,717,742,304,628,205,755,722,1000,73,253,272,3
645,184,684,613,207,559,160,736,593,893,73,187,244,3
350,611,545,536,196,455,122,698,199,544,65,114,173,3
700,498,631,485,402,293,46,698,123,392,390,201,287,3
479,500,652,588,391,231,55,887,174,367,317,308,208,3
508,536,529,407,391,141,76,509,167,341,163,176,283,3
724,399,503,588,217,128,72,528,196,708,179,150,240,3
711,715,481,613,196,103,27,736,233,456,244,176,173,3
637,585,663,639,446,248,122,566,331,802,301,106,297,3
471,520,503,459,196,172,68,509,177,766,195,176,290,3
671,364,711,716,380,197,105,491,356,630,211,194,337,3
624,763,802,742,457,345,131,264,221,616,154,238,251,3
308,453,513,433,283,93,32,509,101,360,146,205,165,3
458,326,492,459,174,141,36,660,73,735,73,132,137,3
824,350,599,485,228,241,76,585,262,718,114,161,272,3
705,970,583,510,272,241,57,736,205,548,130,172,330,3
624,626,599,639,348,283,86,566,315,514,179,106,337,3
589,700,481,485,543,210,74,566,297,761,89,106,397,3
563,366,540,485,543,231,72,755,331,684,98,128,401,3
816,664,738,716,283,369,89,811,297,676,106,121,201,3
